dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,cache-references,cache-misses,memlib
12450221,3123842,2796119,72061790,7832651,/usr/lib/libmesh.so
12397523,3233078,3194986,72387240,8447472,malloc
11841481,2609043,2746461,69531395,8379741,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10678005,2644569,2219623,69580074,7269777,/usr/lib/libmesh.so
9848066,2965845,2418734,72449345,7505055,malloc
12163065,3157868,2610521,69185898,7426081,/usr/lib/x86_64-linux-gnu/libjemalloc.so
14560432,2564597,3201754,71975214,7571580,/usr/lib/libmesh.so
10040969,2682778,2275872,72655724,7881981,malloc
11216505,2788624,2469427,71469187,8818695,/usr/lib/x86_64-linux-gnu/libjemalloc.so
13710615,3279205,3435873,73162239,8513280,/usr/lib/libmesh.so
10042216,2713201,2141393,71454430,7794196,malloc
10885537,2798241,2351170,69310142,7384099,/usr/lib/x86_64-linux-gnu/libjemalloc.so
/usr/lib/libmesh.so
10769459,2524501,2305460,70112280,7194728,malloc
9652566,2863882,2242994,71371157,7627111,/usr/lib/x86_64-linux-gnu/libjemalloc.so
12288709,3122329,2711191,71898383,8933289,/usr/lib/libmesh.so
